CBANK,FREQ,P3,P2,P1,P0
0,6972686353.22159,-0.0004,0.003,0.0007,0.9986
1,6977917324.98646,-0.0004,0.003,0.0007,0.9986
2,6982882812.68018,-0.0004,0.003,0.0007,0.9986
3,6988172673.98397,-0.0004,0.003,0.0007,0.9986
4,6991621570.97548,-0.0004,0.003,0.0007,0.9986
5,6996890157.89548,-0.0004,0.003,0.0007,0.9986
6,7001928635.73936,-0.0004,0.003,0.0007,0.9986
7,7007255316.65655,-0.0004,0.003,0.0007,0.9986
8,7024258221.94931,-0.0004,0.003,0.0007,0.9986
9,7029608380.09337,-0.0004,0.003,0.0007,0.9986
10,7034689009.76173,-0.0004,0.003,0.0007,0.9986
11,7040100029.08163,-0.0004,0.003,0.0007,0.9986
12,7043627606.46398,-0.0004,0.003,0.0007,0.9986
13,7049015546.20299,-0.0004,0.003,0.0007,0.9986
14,7054169475.67688,-0.0004,0.0031,0.0007,0.9986
15,7059618663.71819,-0.0004,0.0031,0.0007,0.9986
16,7077397139.38632,-0.0004,0.0031,0.0007,0.9986
17,7082872035.97491,-0.0004,0.0031,0.0007,0.9986
18,7088070566.11778,-0.0004,0.0031,0.0007,0.9986
19,7093606857.64487,-0.0004,0.0031,0.0007,0.9986
20,7097215184.46203,-0.0004,0.0031,0.0007,0.9986
21,7102732789.42857,-0.0004,0.0031,0.0007,0.9986
22,7108007367.5855,-0.0004,0.0031,0.0007,0.9986
23,7113582670.34873,-0.0004,0.0031,0.0007,0.9986
24,7131971573.68172,-0.0004,0.0031,0.0007,0.9985
25,7137576660.83098,-0.0004,0.0031,0.0007,0.9985
26,7142898648.16854,-0.0004,0.0031,0.0007,0.9985
27,7148565845.62955,-0.0004,0.0032,0.0007,0.9985
28,7152259812.70138,-0.0004,0.0032,0.0007,0.9985
29,7157906360.73686,-0.0004,0.0032,0.0007,0.9985
30,7163306073.31317,-0.0004,0.0032,0.0007,0.9985
31,7169018234.91143,-0.0004,0.0032,0.0007,0.9985
32,7186580451.15743,-0.0004,0.0032,0.0008,0.9985
33,7192314471.91661,-0.0004,0.0032,0.0008,0.9985
34,7197761578.38933,-0.0004,0.0032,0.0008,0.9985
35,7203561643.72955,-0.0004,0.0032,0.0008,0.9985
36,7207337897.87483,-0.0004,0.0032,0.0008,0.9985
37,7213117959.06309,-0.0004,0.0032,0.0008,0.9985
38,7218645511.24199,-0.0004,0.0032,0.0008,0.9985
39,7224489755.895,-0.0004,0.0032,0.0008,0.9985
40,7242280171.05953,-0.0005,0.0033,0.0008,0.9985
41,7248153834.99183,-0.0005,0.0033,0.0008,0.9985
42,7253728195.41152,-0.0005,0.0033,0.0008,0.9985
43,7259666398.62623,-0.0005,0.0033,0.0008,0.9985
44,7263531271.13089,-0.0005,0.0033,0.0008,0.9985
45,7269448421.61799,-0.0005,0.0033,0.0008,0.9985
46,7275108091.13189,-0.0005,0.0033,0.0008,0.9985
47,7281093687.14053,-0.0005,0.0033,0.0008,0.9985
48,7300802351.72428,-0.0005,0.0033,0.0008,0.9984
49,7306819481.71665,-0.0005,0.0033,0.0008,0.9984
50,7312533048.79928,-0.0005,0.0033,0.0008,0.9984
51,7318618873.74094,-0.0005,0.0033,0.0008,0.9984
52,7322576993.69107,-0.0005,0.0033,0.0008,0.9984
53,7328643604.68453,-0.0005,0.0033,0.0008,0.9984
54,7334441606.28112,-0.0005,0.0034,0.0008,0.9984
55,7340575622.36237,-0.0005,0.0034,0.0008,0.9984
56,7359815648.79488,-0.0005,0.0034,0.0008,0.9984
57,7365980694.32725,-0.0005,0.0034,0.0008,0.9984
58,7371835209.74078,-0.0005,0.0034,0.0008,0.9984
59,7378071031.87741,-0.0005,0.0034,0.0008,0.9984
60,7382124778.1551,-0.0005,0.0034,0.0008,0.9984
61,7388339855.41613,-0.0005,0.0034,0.0008,0.9984
62,7394285092.95084,-0.0005,0.0034,0.0008,0.9984
63,7400569232.14374,-0.0005,0.0034,0.0008,0.9984
64,7412330265.54095,-0.0005,0.0035,0.0008,0.9984
65,7418617158.16596,-0.0005,0.0035,0.0008,0.9984
66,7424590034.16755,-0.0005,0.0035,0.0008,0.9984
67,7430950743.0313,-0.0005,0.0035,0.0008,0.9984
68,7435083753.05536,-0.0005,0.0035,0.0008,0.9984
69,7441423328.06339,-0.0005,0.0035,0.0008,0.9984
70,7447487147.71026,-0.0005,0.0035,0.0008,0.9984
71,7453899853.16823,-0.0005,0.0035,0.0008,0.9984
72,7472891286.75519,-0.0005,0.0035,0.0008,0.9984
73,7479335896.49368,-0.0005,0.0035,0.0008,0.9983
74,7485457445.68502,-0.0005,0.0036,0.0008,0.9983
75,7491976747.66752,-0.0005,0.0036,0.0009,0.9983
76,7496209640.1244,-0.0005,0.0036,0.0009,0.9983
77,7502707510.67903,-0.0005,0.0036,0.0009,0.9983
78,7508923678.20475,-0.0005,0.0036,0.0008,0.9983
79,7515496631.68473,-0.0005,0.0036,0.0008,0.9983
80,7535368253.31516,-0.0005,0.0036,0.0009,0.9983
81,7541978037.50859,-0.0005,0.0036,0.0009,0.9983
82,7548253428.77463,-0.0006,0.0036,0.0009,0.9983
83,7554938120.2587,-0.0006,0.0036,0.0009,0.9983
84,7559276352.87534,-0.0006,0.0036,0.0009,0.9983
85,7565939659.35887,-0.0006,0.0036,0.0009,0.9983
86,7572314015.1582,-0.0006,0.0037,0.0009,0.9983
87,7579055037.76001,-0.0006,0.0037,0.0009,0.9983
88,7599588854.62577,-0.0006,0.0037,0.0009,0.9983
89,7606367115.50931,-0.0006,0.0037,0.0009,0.9983
90,7612805780.05991,-0.0006,0.0037,0.0009,0.9983
91,7619663927.65269,-0.0006,0.0037,0.0009,0.9983
92,7624110417.24386,-0.0006,0.0037,0.0009,0.9983
93,7630946075.25951,-0.0006,0.0037,0.0009,0.9983
94,7637485216.33723,-0.0006,0.0037,0.0009,0.9983
95,7644401310.75646,-0.0006,0.0037,0.0009,0.9983
96,7665130088.50466,-0.0006,0.0038,0.0009,0.9982
97,7672083238.92743,-0.0006,0.0038,0.0009,0.9982
98,7678688063.57771,-0.0006,0.0038,0.0009,0.9982
99,7685722131.13147,-0.0006,0.0038,0.0009,0.9982
100,7690279996.28294,-0.0006,0.0038,0.0009,0.9982
101,7697292892.61832,-0.0006,0.0038,0.0009,0.9982
102,7704001582.19046,-0.0006,0.0038,0.0009,0.9982
103,7711097358.6045,-0.0006,0.0038,0.0009,0.9982
104,7730838878.25502,-0.0006,0.0039,0.0009,0.9982
105,7737970178.14779,-0.0006,0.0039,0.0009,0.9982
106,7744744561.12509,-0.0006,0.0039,0.0009,0.9982
107,7751960487.85245,-0.0006,0.0039,0.0009,0.9982
108,7756631654.00593,-0.0006,0.0039,0.0009,0.9982
109,7763825789.05371,-0.0006,0.0039,0.0009,0.9982
110,7770709262.32872,-0.0006,0.0039,0.0009,0.9982
111,7777986851.71497,-0.0006,0.0039,0.0009,0.9982
112,7799939967.78323,-0.0006,0.0039,0.001,0.9982
113,7807262243.98367,-0.0006,0.0039,0.001,0.9982
114,7814216700.27124,-0.0006,0.004,0.001,0.9982
115,7821625297.10315,-0.0006,0.004,0.001,0.9982
116,7826418620.59895,-0.0007,0.004,0.001,0.9982
117,7833805356.1103,-0.0007,0.004,0.001,0.9981
118,7840871522.65957,-0.0007,0.004,0.001,0.9981
119,7848346233.65964,-0.0007,0.004,0.001,0.9981
120,7869665461.46141,-0.0007,0.004,0.001,0.9981
121,7877181530.75891,-0.0007,0.004,0.001,0.9981
122,7884321062.27572,-0.0007,0.004,0.001,0.9981
123,7891927090.24086,-0.0007,0.0041,0.001,0.9981
124,7896842764.68068,-0.0007,0.0041,0.001,0.9981
125,7904425932.99601,-0.0007,0.0041,0.001,0.9981
126,7911680242.73238,-0.0007,0.0041,0.001,0.9981
127,7919354324.86973,-0.0007,0.0041,0.001,0.9981
128,7968732229.98684,-0.0007,0.0042,0.0011,0.998
129,7976640059.49651,-0.0007,0.0042,0.0011,0.998
130,7984147720.53999,-0.0007,0.0042,0.0011,0.998
131,7992153126.90227,-0.0007,0.0042,0.0011,0.998
132,7997329650.76907,-0.0007,0.0042,0.0011,0.998
133,8005313717.01652,-0.0007,0.0042,0.0011,0.998
134,8012947617.33519,-0.0007,0.0042,0.0011,0.998
135,8021030213.99373,-0.0007,0.0042,0.0011,0.998
136,8049097414.50098,-0.0007,0.0043,0.0011,0.998
137,8057260051.27802,-0.0007,0.0043,0.0011,0.998
138,8065010330.45726,-0.0007,0.0043,0.0011,0.998
139,8073274336.41833,-0.0007,0.0043,0.0011,0.998
140,8078611568.57284,-0.0007,0.0043,0.0011,0.998
141,8086855080.36207,-0.0008,0.0043,0.0011,0.998
142,8094736378.69211,-0.0008,0.0043,0.0011,0.998
143,8103081950.77087,-0.0008,0.0043,0.0011,0.998
144,8132549776.3724,-0.0008,0.0044,0.0012,0.9979
145,8140982405.48489,-0.0008,0.0044,0.0012,0.9979
146,8148989506.09959,-0.0008,0.0044,0.0012,0.9979
147,8157527504.5194,-0.0008,0.0044,0.0012,0.9979
148,8163036764.78999,-0.0008,0.0044,0.0012,0.9979
149,8171554425.95146,-0.0008,0.0044,0.0012,0.9979
150,8179699123.18468,-0.0008,0.0044,0.0012,0.9979
151,8188324073.40878,-0.0008,0.0044,0.0012,0.9979
152,8219007381.77293,-0.0008,0.0045,0.0012,0.9979
153,8227726347.73891,-0.0008,0.0045,0.0012,0.9979
154,8236004293.49706,-0.0008,0.0045,0.0012,0.9979
155,8244833277.5284,-0.0008,0.0045,0.0012,0.9979
156,8250520739.43504,-0.0008,0.0045,0.0012,0.9979
157,8259330552.78536,-0.0008,0.0045,0.0012,0.9978
158,8267752116.09427,-0.0008,0.0045,0.0012,0.9978
159,8276672429.05311,-0.0008,0.0045,0.0012,0.9978
160,8306114573.58713,-0.0008,0.0046,0.0013,0.9978
161,8315125123.5713,-0.0008,0.0046,0.0013,0.9978
162,8323679625.12588,-0.0008,0.0046,0.0013,0.9978
163,8332803902.13592,-0.0009,0.0046,0.0013,0.9978
164,8338676226.92286,-0.0009,0.0046,0.0013,0.9978
165,8347782655.37739,-0.0009,0.0046,0.0013,0.9978
166,8356487193.66974,-0.0009,0.0046,0.0013,0.9978
167,8365708180.2204,-0.0009,0.0047,0.0013,0.9978
168,8395931710.11326,-0.0009,0.0047,0.0013,0.9977
169,8405250467.77871,-0.0009,0.0047,0.0013,0.9977
170,8414099488.31621,-0.0009,0.0047,0.0013,0.9977
171,8423539600.64012,-0.0009,0.0047,0.0013,0.9977
172,8429603737.90765,-0.0009,0.0047,0.0013,0.9977
173,8439026384.94581,-0.0009,0.0047,0.0013,0.9977
174,8448032891.01461,-0.0009,0.0048,0.0013,0.9977
175,8457575443.72489,-0.0009,0.0048,0.0013,0.9977
176,8491115308.46879,-0.0009,0.0048,0.0014,0.9977
177,8500770866.63159,-0.0009,0.0048,0.0014,0.9977
178,8509937089.4368,-0.0009,0.0048,0.0014,0.9977
179,8519718934.00953,-0.0009,0.0048,0.0014,0.9977
180,8525997064.7424,-0.0009,0.0048,0.0014,0.9977
181,8535758690.88401,-0.0009,0.0049,0.0014,0.9977
182,8545092509.39238,-0.0009,0.0049,0.0014,0.9976
183,8554982489.23872,-0.0009,0.0049,0.0014,0.9976
184,8588050813.59783,-0.001,0.0049,0.0014,0.9976
185,8598056977.28938,-0.001,0.0049,0.0014,0.9976
186,8607555212.90952,-0.001,0.0049,0.0014,0.9976
187,8617691418.89631,-0.001,0.0049,0.0014,0.9976
188,8624185140.96032,-0.001,0.005,0.0014,0.9976
189,8634305916.373,-0.001,0.005,0.0014,0.9976
190,8643977929.27032,-0.001,0.005,0.0014,0.9976
191,8654231663.3313,-0.001,0.005,0.0014,0.9976
192,8673357187.86982,-0.001,0.0051,0.0015,0.9975
193,8683646170.27829,-0.001,0.0051,0.0015,0.9975
194,8693414842.68473,-0.001,0.0051,0.0015,0.9975
195,8703840516.20711,-0.001,0.0051,0.0015,0.9975
196,8710514829.29807,-0.001,0.0052,0.0015,0.9975
197,8720922096.84109,-0.001,0.0052,0.0015,0.9975
198,8730872766.7768,-0.0011,0.0052,0.0015,0.9975
199,8741420621.62417,-0.0011,0.0052,0.0015,0.9975
200,8774831239.96025,-0.0011,0.0052,0.0015,0.9975
201,8785502207.63683,-0.0011,0.0052,0.0015,0.9975
202,8795633955.24339,-0.0011,0.0053,0.0015,0.9974
203,8806449009.84263,-0.0011,0.0053,0.0015,0.9974
204,8813359009.03829,-0.0011,0.0053,0.0015,0.9974
205,8824157662.51952,-0.0011,0.0053,0.0015,0.9974
206,8834479639.45135,-0.0011,0.0053,0.0015,0.9974
207,8845424075.4908,-0.0011,0.0053,0.0015,0.9974
208,8880560751.28691,-0.0011,0.0054,0.0016,0.9974
209,8891639987.0355,-0.0011,0.0054,0.0016,0.9974
210,8902156490.35737,-0.0011,0.0054,0.0016,0.9974
211,8913386736.72694,-0.0011,0.0054,0.0016,0.9974
212,8920551650.87009,-0.0011,0.0054,0.0016,0.9974
213,8931765836.77312,-0.0011,0.0054,0.0016,0.9973
214,8942485982.00364,-0.0011,0.0055,0.0016,0.9973
215,8953852961.62955,-0.0012,0.0055,0.0016,0.9973
216,8990463229.41815,-0.0012,0.0055,0.0017,0.9973
217,9001977116.87295,-0.0012,0.0055,0.0017,0.9973
218,9012906703.71315,-0.0012,0.0055,0.0017,0.9973
219,9024578118.611,-0.0012,0.0055,0.0017,0.9973
220,9032011309.47399,-0.0012,0.0056,0.0017,0.9973
221,9043668388.92686,-0.0012,0.0056,0.0017,0.9973
222,9054812097.28273,-0.0012,0.0056,0.0017,0.9973
223,9066631723.39148,-0.0012,0.0056,0.0017,0.9972
224,9103683950.51772,-0.0012,0.0056,0.0017,0.9972
225,9115650416.0608,-0.0012,0.0057,0.0018,0.9972
226,9127010695.24194,-0.0012,0.0057,0.0018,0.9972
227,9139144735.85227,-0.0012,0.0057,0.0018,0.9972
228,9146856790.2265,-0.0012,0.0057,0.0018,0.9972
229,9158978529.10889,-0.0013,0.0057,0.0018,0.9972
230,9170565341.75524,-0.0013,0.0057,0.0018,0.9972
231,9182856740.01335,-0.0013,0.0058,0.0018,0.9972
232,9218792945.4061,-0.0013,0.0058,0.0018,0.9971
233,9231238451.68255,-0.0013,0.0058,0.0018,0.9971
234,9243048719.16939,-0.0013,0.0058,0.0018,0.9971
235,9255671586.06244,-0.0013,0.0058,0.0018,0.9971
236,9263678507.05027,-0.0013,0.0058,0.0018,0.9971
237,9276287118.05733,-0.0013,0.0059,0.0019,0.9971
238,9288340300.63556,-0.0013,0.0059,0.0019,0.9971
239,9301130892.26076,-0.0013,0.0059,0.0019,0.9971
240,9341257694.15249,-0.0013,0.0059,0.0019,0.997
241,9354224213.11352,-0.0013,0.0059,0.0019,0.997
242,9366531364.12328,-0.0013,0.006,0.0019,0.997
243,9379684239.02714,-0.0013,0.006,0.0019,0.997
244,9388013205.62148,-0.0014,0.006,0.0019,0.997
245,9401154865.19335,-0.0014,0.006,0.0019,0.997
246,9413719147.20544,-0.0014,0.006,0.0019,0.997
247,9427050547.36166,-0.0014,0.0061,0.002,0.997
248,9466458110.19084,-0.0014,0.0061,0.002,0.9969
249,9479970194.54568,-0.0014,0.0061,0.002,0.9969
250,9492795676.25584,-0.0014,0.0061,0.002,0.9969
251,9506506534.10809,-0.0014,0.0061,0.002,0.9969
252,9515166631.76788,-0.0014,0.0062,0.002,0.9969
253,9528870699.57916,-0.0014,0.0062,0.002,0.9969
254,9541969430.10705,-0.0014,0.0062,0.002,0.9969
255,9555875075.59559,-0.0014,0.0062,0.002,0.9969
